92, faces 1, eq_adaptive 1, eq_contrast 0, eq_brightness 1, eq_contrast_brightness 0, alt 3, gs_alt 2
93, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 2, gs_alt 1
94, faces 0, eq_adaptive 1, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 1, alt 1, gs_alt 2
95, faces 1, eq_adaptive 1, eq_contrast 1, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 1
96, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 2
97, faces 0, eq_adaptive 1, eq_contrast 0, eq_brightness 1, eq_contrast_brightness 0, alt 1, gs_alt 1
98, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 1, alt 2, gs_alt 3
99, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 1, eq_contrast_brightness 1, alt 2, gs_alt 3
100, faces 0, eq_adaptive 1, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 3
101, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 2, gs_alt 3
102, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 3
q103, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 1, eq_contrast_brightness 0, alt 1, gs_alt 2
104, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 3, gs_alt 2
105, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 2
106, faces 1, eq_adaptive 1, eq_contrast 0, eq_brightness 1, eq_contrast_brightness 1, alt 1, gs_alt 3
107, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 0
108, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 1
109, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 1
110, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 0
111, faces 0, eq_adaptive 0, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 1, gs_alt 2
112, faces 0, eq_adaptive 1, eq_contrast 0, eq_brightness 0, eq_contrast_brightness 0, alt 0, gs_alt 0
faces 18, brightness 23, contrast 19, adaptive 25, contrast brightness 18, alt 149, alt_gs 166
faces time 136.122931004, brightness time 139.714209795, contrast time 132.548044443, adaptive time 132.030635357 contrast brightness 142.160750151 alt time 255.408173323 alt_gs time 242.865340948
